Index,Question,Response
၁,ဘောလုံး အားကစား ဆိုတာဘာလဲ။,ဘောလုံး အားကစားဆိုတာ တစ်သင်းကို ကစားသမား ၁၁ ယောက်စိနဲ့ နှစ်ဖက်အသင်း ယှဥ်ပြိုင်ကစားရပြီး ပြိုင်ဘက် ဂိုးပေါက်သို့ ဘောလုံးကို ၀င်အောင်သွင်းရတဲ့ ကစားနည်းဖြစ်ပြီး ကမ္ဘာ့အကျော်ကြားဆုံး အားကစား တစ်ခုဖြစ်ပါတယ်။
၂,ဘောလုံးအားကစားနည်း ဘယ်ကစလဲ။,ဘောလုံးအားကစားနည်းကို အင်္ဂလန်နိုင်ငံမှာ ၁၉ ရာစုလယ်ပိုင်းက စတင်ခဲ့ပြီး ယနေ့ကမ္ဘာတစ်ဝှမ်းလုံးတွင် အထူးအားပေးကြပါတယ်။
၃,ဘောလုံး အားကစားနည်း အကြောင်း ပြောပြပါ။,ဘောလုံးအားကစားနည်းမှာ ကစားသမား ၁၁ ယောက်ပါသော အသင်းနှစ်သင်း အပြိုင်အဆိုင်ကစားရပြီး ပွဲကစားချိန် အတွင်း ပြိုင်ဘက်အသင်းကို ဂိုးပိုသွင်းနိုင်သော အသင်းက အနိုင်ရရှိပါတယ်။
၄,လူကျွံဘော (Offside) ဆိုတာဘာလဲ။,လူကျွံဘောဆိုတာ ကစားသမားတစ်ဦးဟာ ပြိုင်ဘက် အသင်းက နောက်ဆုံး ကစားသမားထက် ကျော်ပြီး ရှေ့မှာရှိနေစဉ် ဘောလုံးကို လက်ခံ ရယူသွားနိုင် ခြင်းကိုဆိုလိုတာပါ။ ကိုယ်အသင်းက လူကျွံဘော ဖြစ်သွားတဲ့ အခါမှာ ပြိုင်ဘက်အသင်းက အဆိုပါ လူကျွံဘော ဖြစ်တဲ့နေရာကနေ ထပ်ဆင့် တည်ကန်ဘော (Indirect Free Kick) ရရှိပါတယ်။
၅, ဂိုးလွန်ဘော (Goal Kick) ဆိုတာဘာလဲ။,ဂိုးလွန်ဘော (Goal Kick) ဆိုတာ ဂိုးသွင်းယူရန် ကြိုးစားနေတဲ့ အသင်းရဲ့ကစားသမားနဲ့ နောက်ဆုံးထိပြီး ဂိုးပေါက်ကို မ၀င်ဘဲ ပြိုင်ဘက်အသင်းရဲ့ ဂိုးစည်းကို ကျော်သွားသော အခြေအနေကို ဆိုလိုပါတယ်။
၆, ထောင့်ကန်ဘော (Corner Kick) ဆိုတာဘာလဲ။,ထောင့်ကန်ဘော (Corner Kick) ဆိုတာ ဘောလုံးက ခံစစ်ကစားနေရသော အသင်းက ကစားသမားနဲ့ နောက်ဆုံး ထိပြီး ဂိုးလွန်ဘော ဖြစ်သွားသော အခါ တိုက်စစ်ဆင်တဲ့ အသင်းက ကွင်းရဲ့ ထောင့်ကနေ စတင်ပြီး ကန်ရတဲ့ အခြေအနေ ဖြစ်ပါတယ်။
၇, အလွတ်တည်ကန်ဘော (Direct Free Kick) ဆိုတာဘာလဲ။,အလွတ်တည်ကန်ဘောဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area ထိပ်နားမှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ ကန်သွင်းခွင့် ရသောအခွင့်အရေးဖြစ်ပြီး ပြိုင်ဘက်နောက်တန်းများက ကန်သွင်းမှုကို ပိတ်ဆို့ ကာကွယ်နိုင်ပါတယ်။
၈, ထပ်ဆင့် တည်ကန်ဘော (Indirect Free Kick) ဆိုတာဘာလဲ။,ထပ်ဆင့် တည်ကန်ဘောဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area နဲ့ ၀ေးတဲ့ အတန်အသင့်နေရာ မှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ သို့မဟုတ် လူကျွံသွားတဲ့ အခါ ဘောလုံးကို ကိုယ်အသင်းက ကန်ခွင့်ရတဲ့ နေရာတစ်ခုကနေ စတင်ပြီး ကန်ရသောအခြေအနေ ဖြစ်ပြီး ဂိုးထဲသို့ တိုက်ရိုက်ကန်သွင်းခွင့်မရဘဲ ပြိုင်ဘက်နောက်တန်းများက ကန်သွင်းမှုကို ပိတ်ဆို့ ကာကွယ်နိုင်ပါတယ်။
၉,ပင်နယ်တီ (Penalty) ဆိုတာဘာလဲ။,ပင်နယ်တီဆိုတာ ပြိုင်ဘက်အသင်းက ကိုယ့်အသင်းကစားသမားကို ဂိုး Area ထဲမှာ ပြစ်ဒဏ်ဘော ကျူးလွန်မိတဲ့အခါ သို့မဟုတ် ဘောလုံးကို လက်နဲ့ ထိမိတဲ့ အခါမှာ ကန်သွင်းခွင့် ရသောအခွင့်အရေးဖြစ်ပြီး ပြိုင်ဘက် အသင်းမှာ ဂိုးသမားက လွဲရင် အခြားကစားသမားများ ကာကွယ်ထားခြင်းမရှိဘဲ ဂိုး Area ထိပ်ကနေ ကန်သွင်းခွင့် ရတဲ့ အခြေအနေ ဖြစ်ပါတယ်။
၁၀, လက်ပစ်ဘော (Handball) ဆိုတာဘာလဲ။,လက်ပစ်ဘောဆိုတာ ဘောလုံးက ပြိုင်ဘက်အသင်းရဲ့ ကစားသမားနဲ့ နောက်ဆုံးထိပြီး ဘေးစည်းကိုထွက်သွားတဲ့ အခါမှာ တစ်ဖက်အသင်းက ဘောလုံးကို ထွက်သွားတဲ့ ဘေးစည်းနားကနေ လက်နဲ့ မြှောက်တင်ပြီး စတင်ကစားခွင့်ရသော အခြေအနေ ဖြစ်ပါတယ်။
၁၁, အါကတ် (Yellow Card) ဆိုတာဘာလဲ။,အ၀ါကတ်ဆိုတာက ကစားသမားတစ်ယောက်က စောဒက တက်လွန်းခြင်း၊ ပြစ်ဒဏ်ဘော ကျူးလွန်ခြင်း၊ အင်းကျီချွတ် အောင်ပွဲခံခြင်း၊ အချိန်ဆွဲခြင်း၊ ဟန်ဆောင်ပြီး တစ်ဖက်အသင်းက ပြစ်ဒဏ်ဘော ဖြစ်အောင်ကျူးလွန်ခြင်း စတဲ့ အခြေအနေတွေမှာ ဒိုင်လူကြီးက သတိပေးတဲ့ အနေနဲ့ ပြသသော ကတ်ဖြစ်ပါတယ်။
၁၂, အနီကတ် (Red Card) ဆိုတာဘာလဲ,အနီကတ်ဆိုတာ ကစားသမားတစ်ယောက်ကို ကစားပွဲအတွင်းမှ ထုတ်ပယ်တဲ့ အခါမှာ ဒိုင်လူကြီးက ပြသသော ကတ်ဖြစ်ပြီး ဆိုးရွားသော ပြစ်ဒဏ်ဘော ကျူးလွန်မှုများ၊ စည်းကမ်းများကို မလိုက်နာမှုများတွင် အနီကတ်ပြလေ့ ရှိပြီး အ၀ါကတ် နှစ်ကြိမ် ပြသခံရပါက အနီကတ် ထိမှာ ဖြစ်ပါတယ်။
၁၃, ဘောလုံးလောက က နာမည်ကြီး နိုင်ငံတကာ အဖွဲ့အစည်းတွေက ဘာတွေလဲ။,"Fifa, UEFA, AFC, AFF တို့က နာမည်ကြီး ဘောလုံး အဖွဲ့အစည်းများ ဖြစ်ပါတယ်။"
၁၄, ဘောလုံးကွင်း Area ဘယ်လောက်ရှိလဲ။,ဘောလုံးကွင်း၏ အရွယ်အစားက ၁၀၀ မီတာမှ ၁၁၀ မီတာအထိရှည်ပြီး ၆၄ မီတာမှ ၇၅ မီတာအထိ အကျယ်ရှိပါတယ်။
၁၅, ဂိုးပေါက်တစ်ခုရဲ့ အလျားနဲ့ အနံကို ဖော်ပြပါ။,ဂိုးပေါက်တစ်ခုရဲ့ အလျားမှာ ၇.၃၂ မီတာ (၂၄ ပေ) ရှိပြီး အနံမှာ ၂.၄၄ မီတာ (၈ ပေ) ဖြစ်ပါတယ်။
၁၆, ဂိုးသမား (Goalkeeper) နေရာ အကြောင်း ဖော်ပြပါ။,"ဂိုးသမားက ဘောလုံးရဲ့ ဂိုးကိုကာကွယ်သည့်အရေးကြီးဆုံးနေရာဖြစ်ပြီး, ဘောလုံးကိုလက်နှင့်ထိခိုက်ခွင့်ရရှိတဲ့ တစ်ဦးတည်းသောကစားသမားဖြစ်ပါတယ်။"
၁၇, ဘယ်နောက်ခံကစားသမား (Left Back) နေရာ အကြောင်း ဖော်ပြပါ။,"ဘယ်နောက်ခံ ကစားသမားက ဘယ်ဖက်ခြမ်းတွင် ကစားပြီး, ခံစစ်ကိုအကာအကွယ်ပေးခြင်းနှင့် တိုက်စစ်ဆင်မှုများအတွက် ကူညီပေးတယ်။"
၁၈,ညာနောက်ခံကစားသမား (Right Back) နေရာ အကြောင်း ဖော်ပြပါ။,ညာနောက်ခံ ကစားသမားက ညာဖက်ခြမ်းတွင် ခံစစ်တာဝန်များကို လုပ်ဆောင်တယ်။ တိုက်ရိုက်ပြိုင်ဘက်များကို တားဆီးပေးတယ်။
၁၉,ဗဟိုခံစစ်ကစားသမား (Center Back) နေရာ အကြောင်း ဖော်ပြပါ။,ဗဟိုခံစစ်က နောက်တန်းအလယ်တွင် ဂိုးကို ကာကွယ်ပေးတယ်။ ပြိုင်ဘက်တိုက်စစ်သမားများနှင့် ရင်ဆိုင်ပြီး ဘောလုံးကို ဖြတ်ထုတ်တတ်တယ်။
၂၀, ကွင်းလယ်ခံစစ်ကစားသမား (Defensive Midfielder) နေရာ အကြောင်း ဖော်ပြပါ။,"ကွင်းလယ်ခံစစ်က တန်ပြန်တိုက်စစ်များကို ကာကွယ်ပြီး, ကွင်းလယ်မှာ ပြိုင်ဘက်ရဲ့တိုက်စစ်ဆင်မှုများကို ဖြတ်တောက်တတ်တယ်။"
၂၁, ဗဟိုကွင်းလယ်ကစားသမား (Central Midfielder) နေရာ အကြောင်း ဖော်ပြပါ။,"ဗဟိုကွင်းလယ်က ကွင်းလယ်ပိုင်းတွင် ကစားပြီး, တိုက်စစ်ဖန်တီးခြင်း နှင့် နောက်တန်း၊ ရှေ့တန်းအကြား ချိတ်ဆက်ပေးတတ်တယ်။"
၂၂,ကွင်းလယ်တိုက်စစ်ကစားသမား (Attacking Central Midfielder) နေရာ အကြောင်းဖော်ပြပါ။,ကွင်းလယ်တိုက်စစ်ကစားသမားက တိုက်စစ်အနေအထားမှာ ကစားပြီး နေရာလွတ်များကို ရှာဖွေကစားဖို့၊ ပြိုင်ဘက်ဂိုးကို တိုက်ဖို့၊ ဂိုးဖန်တီးပေးဖို့ အဓိကတာဝန်ယူတယ်။
၂၃, ကွင်းလယ်ဘယ်တောင်ပံကစားသမား (Left Midfielder) နေရာ အကြောင်းဖော်ပြပါ။,ကွင်းလယ်ဘယ်တောင်ပံကစားသမားက ကွင်းလယ်ပိုင်းရဲ့ ဘယ်ဖက်မှာ ကစားပြီး တိုက်စစ်နဲ့ ကစားကွက်ချိတ်ဆက်ပေးဖို့ တာဝန်ယူတယ်။
၂၄, ကွင်းလယ်ညာတောင်ပံကစားသမား (Right Midfielder) နေရာ အကြောင်းဖော်ပြပါ။,ကွင်းလယ်ညာတောင်ပံကစားသမားက ကွင်းလယ်ပိုင်းရဲ့ ညာဖက်မှာ ကစားပြီး တိုက်စစ်နဲ့ ကစားကွက်ချိတ်ဆက်ပေးဖို့ တာဝန်ယူတယ်။
၂၅, ဘယ်တောင်ပံကစားသမား (Left Winger) နေရာ အကြောင်းဖော်ပြပါ။,ဘယ်တောင်ပံကစားသမားက ဘယ်အစွန်းမှာ ကစားပြီး တစ်ကိုယ်တော်စွမ်းရည်နဲ့ အရှိန်မြင့်တိုက်စစ်ဆင်ကစားတယ်။ သူတို့က တိုက်စစ်ဆင်ခြင်း၊ ပြိုင်ဘက်ကို ဖြတ်ပြီး ဂိုးသွင်းဖို့နဲ့ ဂိုးဖန်တီးပေးဖို့ အဓိကတာဝန်ရှိတယ်။
၂၆, ညာတောင်ပံကစားသမား (Right Winger) နေရာ အကြောင်းဖော်ပြပါ။,ညာတောင်ပံကစားသမားက ညာအစွန်းမှာ ကစားပြီး တစ်ကိုယ်တော်စွမ်းရည်အသုံးပြုကာ တိုက်စစ်ဆင်ကစားတယ်။ ဂိုးသွင်းခြင်း၊ ပြိုင်ဘက်ကို ဖြတ်ပြီးတိုက်ဖို့နဲ့ ဂိုးဖန်တီးဖို့ အဓိကတာဝန်ယူတယ်။
၂၇, ညာတောင်ပံတိုက်စစ်ကစားသမား (Right Winger Forward) နေရာ အကြောင်း ဖော်ပြပါ။,"ညာတောင်ပံတိုက်စစ်က ရှေ့တန်းဦးဆောင်သော တိုက်စစ်ဖန်တီးသူတစ်ဦးဖြစ်ပြီး, ဂိုးသွင်းရန်အတွက် အမြဲရှာဖွေတတ်တယ်။"
၂၈,ဘယ်တောင်ပံတိုက်စစ်ကစားသမား (Left Winger Forward) နေရာ အကြောင်း ဖော်ပြပါ။,ဘယ်တောင်ပံတိုက်စစ်ကစားသမားက ဘယ်အစွန်းပိုင်းမှာ တိုက်စစ်ဆင်ကစားတယ်။ သူတို့က တစ်ကိုယ်တော်စွမ်းရည်နဲ့ အမြန်နှုန်းကို အသုံးပြုကာ ပြိုင်ဘက်ကို ဖြတ်ကျော်ပြီး ဂိုးသွင်းယူမှုတွေနဲ့ တိုက်စစ်မှုကို အားကောင်းစွာပြုလုပ်တယ်။
၂၉,နောက်ချန်တိုက်စစ်ကစားသမား (Second Striker)  နေရာ အကြောင်း ဖော်ပြပါ။,နောက်ချန်တိုက်စစ်ကစားသမားနေရာ က တိုက်စစ် လမ်းကြောင်းများအတွက် အခွင့်အရေးများ ပြုလုပ်ဖန်တီးရပြီး ဂိုးဖန်တီးမှုများ၊ တိုက်ရိုက်ဂိုးသွင်းမှုများ နဲ့ ပြိုင်ဘက်ခံစစ် ကစားသမားများကို  အာရုံလွှဲ ခြင်းများ ပြုလုပ်ရပါတယ်။ 
၃၀,အထောင်တိုက်စစ်ကစားသမား (Central Forward) နေရာ အကြောင်း ဖော်ပြပါ။,"အထောင်တိုက်စစ်က ရှေ့တန်း၏အဓိကဂိုးသွင်းသူဖြစ်ပြီး, အသင်းအတွက် အဓိကတာဝန်ရှိသူဖြစ်ပါတယ်။"
၃၁, နောက်ခံလူများ (Defenders) အကြောင်း ဖော်ပြပါ။,"နောက်ခံကစားသမားများက ဂိုးကို ကာကွယ်ပေးပြီး, ပြိုင်ဘက်တိုက်စစ်ဆင်မှုများကို ထိန်းချုပ်ကာကွယ်တတ်တယ်။"
၃၂, ကွင်းလယ်ကစားသမားများ (Midfielders) အကြောင်း ဖော်ပြပါ။,"ကွင်းလယ်ကစားသမားများက ကွင်းအလယ်ပိုင်းတွင် အဓိက ကစားပြီး, ကာကွယ်မှုနှင့် တိုက်စစ်ဆင်မှုကြား ချိတ်ဆက်ပေးတတ်တယ်။"
၃၃, ရှေ့တန်းကစားသမားများ (Forwards) အကြောင်း ဖော်ပြပါ။,"ရှေ့တန်းကစားသမားများက ဂိုးသွင်းရန် အဓိက တာဝန်ယူပြီး, ဂိုးသွင်းရန်အခွင့်အလမ်းများ ဖန်တီးတတ်တယ်။"
၃၄, တိုက်စစ်ကစားသမားများ (Attackers/Strikers) အကြောင်း ဖော်ပြပါ။,"တိုက်စစ်ကစားသမားများက အသင်းရဲ့ အဓိကဂိုးသွင်းသူများဖြစ်ပြီး, ပြိုင်ဘက်ဂိုးကို တိုက်ရိုက်ဂိုးသွင်းခြင်းနှင့် ရင်ဆိုင်ခြင်းများပြုလုပ်တတ်တယ်။"
၃၅,၄-၂-၃-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစား လေးယောက်၊ ကွင်းလယ် ခံစစ် နှစ်ယောက်၊ တိုက်စစ်ပိုင်းအတွက် ကွင်းလယ် ကစားသမာ သုံးယောက် နဲ့ အထောင်တိုက်စစ်မှုတစ်ယောက်ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၃၆,၄-၄-၂ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစား လေးယောက်၊ ကွင်းလယ် ကစားသမား လေးယောက်၊ တိုက်စစ် ကစားသမား နှစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၃၇,၄-၃-၃ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစား လေးယောက်၊ ကွင်းလယ် ကစားသမား သုံးယောက်၊ တိုက်စစ် ကစားသမား သုံးယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၃၈,၄-၅-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား လေးယောက်၊ ကွင်းလယ် ကစားသမား ငါးယောက်၊ အထောင် တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၃၉,၄-၃-၂-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစား လေးယောက်၊ ကွင်းလယ် ခံစစ် သုံးယောက်၊ တိုက်စစ်ပိုင်းအတွက် ကွင်းလယ် ကစားသမား နှစ်ယောက် နဲ့ အထောင်တိုက်စစ်မှုတစ်ယောက်ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၀,၄-၁-၄-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား လေးယောက်၊ ဗဟို ခံစစ် ကစားသမား တစ်ယောက်၊ ကွင်းလယ် ကစားသမား လေးယောက်၊ အထောင် တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၁,၄-၂-၄ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစား လေးယောက်၊ ကွင်းလယ် ကစားသမား နှစ်ယောက်၊ တိုက်စစ် ကစားသမား လေးယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၂,၄-၄-၁-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား လေးယောက်၊ ကွင်းလယ် ကစားသမား လေးယောက်၊ အထောင် တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၃,၃-၄-၃ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား သုံးယောက်၊ ကွင်းလယ် ကစားသမား လေးယောက်၊ တိုက်စစ် ကစားသမား သုံးယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၄,၃-၅-၂ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား သုံးယောက်၊ ကွင်းလယ် ကစားသမား ငါးယောက်၊ တိုက်စစ် ကစားသမား နှစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၅,၃-၆-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား သုံးယောက်၊ ကွင်းလယ် ကစားသမား ခြောက်ယောက်၊ တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၆,၃-၂-၄-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား သုံးယောက်၊ ကွင်းလယ် ခံစစ်ကစားသမား နှစ်ယောက်၊ ဗဟို ကွင်းလယ် ကစားသမား လေးယောက်၊ တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၇,၃-၄-၂-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား သုံးယောက်၊ ကွင်းလယ်စားသမား လေးယောက်၊ နောက်ချန် ကွင်းလယ် ကစားသမား တိုက်စစ် ကစားသမား နှစ်ယောက်၊ တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၈,၅-၂-၃ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား ငါးယောက်၊ ကွင်းလယ် ကစားသမား နှစ် ယောက်၊ တိုက်စစ် ကစားသမား သုံး ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၄၉,၅-၃-၂ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား ငါးယောက်၊ ကွင်းလယ် ကစားသမား သုံး ယောက်၊ တိုက်စစ် ကစားသမား နှစ် ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၅၀,၅-၄-၁ ကစားကွက် အကြောင်းဖော်ပြပါ,ခံစစ်ကစားသမား ငါးယောက်၊ ကွင်းလယ် ကစားသမား လေးယောက်၊ တိုက်စစ် ကစားသမား တစ်ယောက် ပါ၀င်သော ကစားကွက် ပုံစံဖြစ်ပါတယ်။
၅၁, Premier League ပြိုင်ပွဲ အကြောင်းဖော်ပြပါ။,Premier League ဟာ အင်္ဂလန်နိုင်ငံရဲ့ ဘောလုံး League နိုင်ငံတကာက ကြည့်ရှုမှု နှုန်း အများဆုံး League ပြိင်ပွဲ တစ်ခြ ဖြစ်ပါတယ်။
၅၂, စပိန် La Liga ပြိုင်ပွဲ အကြောင်းဖော်ပြပါ။,La Liga ဟာ စပိန်နိုင်ငံရဲ့ အဆင့်အမြင့်ဆုံး ဘောလုံးပြိုင်ပွဲဖြစ်ပြီး Real Madrid နှင့် FC Barcelona တို့ဟာ La Liga ရဲ့ နာမည်ကြီး အသင်းတွေဖြစ်ပါတယ်။
၅၃, အီတလီ Serie A ပြိုင်ပွဲ အကြောင်းဖော်ပြပါ။,"Serie A ဟာ အီတလီနိုင်ငံရဲ့ အကောင်းဆုံး ဘောလုံးပြိုင်ပွဲဖြစ်ပြီး Juventus, AC Milan, Inter Milan တို့က နာမည်ကြီး အသင်းများဖြစ်ကြပါတယ်။"
၅၄, ပြင်သစ် League 1 ပြိုင်ပွဲ အကြောင်းဖော်ပြပါ။,League 1 ဟာ ပြင်သစ်နိုင်ငံရဲ့ အထင်ကရ ဘောလုံးပြိုင်ပွဲဖြစ်ပြီး Paris Saint-Germain (PSG) က နိုင်ငံရဲ့ နာမည်ကြီးအသင်းတစ်ခုဖြစ်ပါတယ်။
